sleep_hours,sleep_time_hour,meals_count,junk_food_count,stress_level,work_hours,exercise_minutes,water_intake,mood_score,screen_time_hrs,caffeine_cups,burnout_risk,stress_overload,sleep_deprived,poor_habits,skipping_meals,late_sleep,health_score
6.9,22,2,2,3,6.6,35.0,0.8,3,8.4,2,0,0,0,1,0,0,81.6
6.0,22,1,0,4,8.2,67.0,1.4,7,4.1,5,0,0,0,1,1,0,81.6
7.2,0,1,1,5,6.7,0.0,0.5,2,1.3,0,0,0,0,1,1,1,72.5
8.5,1,2,3,1,7.0,29.0,1.4,3,4.0,2,0,0,0,1,0,1,80.4
5.8,21,3,1,7,12.4,12.0,2.6,2,4.9,4,1,0,1,0,0,0,66.3
5.8,3,3,5,10,8.6,39.0,1.7,5,5.4,2,0,0,1,1,0,1,56.6
8.6,22,3,2,7,8.8,24.0,1.0,7,3.4,0,0,0,0,1,0,0,80.5
7.4,0,2,1,9,6.8,0.0,2.0,10,8.3,1,0,0,0,0,0,1,71.5
5.5,1,4,1,4,11.4,6.0,1.9,10,4.6,1,0,0,1,0,0,1,80.6
7.0,2,2,1,6,8.0,10.0,3.2,1,7.3,5,0,0,0,0,0,1,83.0
5.5,1,1,1,2,7.2,58.0,2.4,10,6.1,4,0,0,1,1,1,1,77.0
5.5,2,3,0,4,4.5,56.0,2.0,9,7.9,4,0,0,1,0,0,1,91.0
6.6,23,1,1,2,8.3,21.0,2.4,1,5.5,3,0,0,0,1,1,0,81.4
3.3,2,2,2,10,7.1,55.0,1.7,1,4.2,2,0,1,1,0,0,1,40.6
3.6,22,3,3,5,12.7,24.0,1.7,10,4.8,4,0,0,1,1,0,0,64.9
5.4,2,4,2,7,13.1,21.0,3.0,8,4.8,5,0,0,1,0,0,1,74.2
4.7,0,3,3,1,5.4,29.0,0.7,6,10.1,2,0,0,1,1,0,1,68.8
6.7,2,3,0,10,5.7,34.0,2.5,6,6.2,1,0,0,0,0,0,1,83.2
4.8,0,4,1,10,7.8,16.0,1.7,9,6.0,2,0,0,1,0,0,1,63.1
4.1,0,1,2,7,6.5,28.0,1.6,4,7.8,1,0,0,1,1,1,1,56.5
8.4,0,2,2,10,9.0,45.0,1.4,8,6.0,0,0,0,0,0,0,1,69.6
5.9,1,2,0,6,7.7,31.0,1.9,4,8.2,4,0,0,1,0,0,1,85.0
6.3,22,2,3,6,9.2,29.0,1.8,2,5.3,4,0,0,0,1,0,0,74.8
